chlorophyll_GFF,datetime,chlorophyll_fluorometer,Location,Latitude,Longitude
16.14,30-Apr-13,0.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,1-May-13,0.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,2-May-13,0.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,3-May-13,29.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,4-May-13,23.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,5-May-13,27.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,6-May-13,25.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,7-May-13,39.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,8-May-13,37.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,9-May-13,26,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,10-May-13,31.05,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,11-May-13,36.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14.11,12-May-13,25.65,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,13-May-13,25.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,14-May-13,23.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,15-May-13,10.35,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,16-May-13,16.55,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,17-May-13,13,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,18-May-13,13.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.2,19-May-13,13.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,20-May-13,11.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,21-May-13,8.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,22-May-13,11.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,23-May-13,7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,24-May-13,7.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,25-May-13,21.35,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.57,26-May-13,18,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,27-May-13,15,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,28-May-13,12.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,29-May-13,16.15,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,30-May-13,14.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,31-May-13,12.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,1-Jun-13,25.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.42,2-Jun-13,24.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,3-Jun-13,35.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,4-Jun-13,30.55,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,5-Jun-13,28.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,6-Jun-13,25.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,7-Jun-13,34.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,8-Jun-13,8.75,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
15.3,9-Jun-13,12.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,10-Jun-13,20.15,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,11-Jun-13,1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,12-Jun-13,33.75,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,13-Jun-13,34.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,14-Jun-13,35.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,15-Jun-13,29.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,16-Jun-13,34.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,17-Jun-13,34.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,18-Jun-13,33.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.88,19-Jun-13,16.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.25,20-Jun-13,11.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.67,4-Jul-13,6.35,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.67,5-Jul-13,5.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.67,6-Jul-13,5.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.67,7-Jul-13,5.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,8-Jul-13,5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,9-Jul-13,4.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,10-Jul-13,2.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,11-Jul-13,2.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,12-Jul-13,3.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,13-Jul-13,3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.26,14-Jul-13,3.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,15-Jul-13,4.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,16-Jul-13,10,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,17-Jul-13,11.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,18-Jul-13,3.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,19-Jul-13,4.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,20-Jul-13,7.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,21-Jul-13,11.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,22-Jul-13,10,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,23-Jul-13,11.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,24-Jul-13,9.85,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,25-Jul-13,9.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,26-Jul-13,9.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,27-Jul-13,9.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
10.12,28-Jul-13,9.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,29-Jul-13,9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,30-Jul-13,10.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,31-Jul-13,8.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,1-Aug-13,5.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,2-Aug-13,4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,3-Aug-13,3.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
13.09,4-Aug-13,4.45,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,5-Aug-13,4.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,6-Aug-13,3.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,7-Aug-13,4.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,8-Aug-13,7.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,9-Aug-13,5.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,10-Aug-13,3.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.03,11-Aug-13,5.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,12-Aug-13,7.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,13-Aug-13,8.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,14-Aug-13,12.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,15-Aug-13,12.55,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,16-Aug-13,14.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,17-Aug-13,6.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.91,18-Aug-13,2.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,19-Aug-13,2.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,20-Aug-13,4.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,21-Aug-13,8.85,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,22-Aug-13,12.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,23-Aug-13,11.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,24-Aug-13,5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
18.73,25-Aug-13,1.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,26-Aug-13,0.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,27-Aug-13,0.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,28-Aug-13,0.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,29-Aug-13,0.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,30-Aug-13,1.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,31-Aug-13,1.05,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.8,1-Sep-13,1.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,2-Sep-13,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,3-Sep-13,0.85,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,4-Sep-13,1.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,5-Sep-13,8.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,6-Sep-13,9.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,7-Sep-13,14.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.73,8-Sep-13,10.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,9-Sep-13,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,10-Sep-13,3.35,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,11-Sep-13,7.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,12-Sep-13,2.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,13-Sep-13,9.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,14-Sep-13,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
19.95,15-Sep-13,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.59,16-Sep-13,1.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.59,17-Sep-13,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.59,18-Sep-13,1.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.69,4-Oct-13,21.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.69,5-Oct-13,11.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.69,6-Oct-13,21.65,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,7-Oct-13,12.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,8-Oct-13,28.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,9-Oct-13,20,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,10-Oct-13,21.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,11-Oct-13,72.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,12-Oct-13,51.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
47.95,13-Oct-13,17.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,14-Oct-13,10.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,15-Oct-13,10.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,16-Oct-13,11.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,17-Oct-13,7.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,18-Oct-13,8.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,19-Oct-13,9.85,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,20-Oct-13,12.15,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,21-Oct-13,11.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,22-Oct-13,8.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,23-Oct-13,8.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,24-Oct-13,12.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,25-Oct-13,15.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.63,26-Oct-13,22,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,27-Oct-13,12,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,28-Oct-13,3.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,29-Oct-13,2.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,30-Oct-13,3.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,31-Oct-13,6.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,1-Nov-13,8.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.34,2-Nov-13,4.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,3-Nov-13,8.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,4-Nov-13,4.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,5-Nov-13,3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,6-Nov-13,3.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,7-Nov-13,2.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,8-Nov-13,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,9-Nov-13,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.41,10-Nov-13,0.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.62,11-Nov-13,0.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.62,12-Nov-13,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
4.62,13-Nov-13,0.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.9,10-Jan-14,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.9,11-Jan-14,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.9,12-Jan-14,2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,13-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,14-Jan-14,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,15-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,16-Jan-14,1.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,17-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,18-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.67,19-Jan-14,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,20-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,21-Jan-14,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,22-Jan-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,23-Jan-14,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,24-Jan-14,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,25-Jan-14,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.87,26-Jan-14,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,27-Jan-14,1.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,28-Jan-14,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,29-Jan-14,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,30-Jan-14,1.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,31-Jan-14,1.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,1-Feb-14,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.11,2-Feb-14,1.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,3-Feb-14,1.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,4-Feb-14,1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,5-Feb-14,1.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,6-Feb-14,1.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,7-Feb-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,8-Feb-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.48,9-Feb-14,1.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,10-Feb-14,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,11-Feb-14,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,12-Feb-14,1.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,13-Feb-14,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,14-Feb-14,2.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,15-Feb-14,2.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
1.29,16-Feb-14,2.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,17-Feb-14,2.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,18-Feb-14,1.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,19-Feb-14,2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,20-Feb-14,2.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,21-Feb-14,2.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,22-Feb-14,4.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.66,23-Feb-14,6.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,24-Feb-14,4.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,25-Feb-14,2.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,26-Feb-14,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,27-Feb-14,2.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,28-Feb-14,1.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,1-Mar-14,0.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.07,2-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,3-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,4-Mar-14,0.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,5-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,6-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,7-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,8-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.27,9-Mar-14,0.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,10-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,11-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,12-Mar-14,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,13-Mar-14,2.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,14-Mar-14,3.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,15-Mar-14,2.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.83,16-Mar-14,2.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,17-Mar-14,3.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,18-Mar-14,2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,19-Mar-14,2.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,20-Mar-14,0.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,21-Mar-14,2.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,22-Mar-14,2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
3.01,23-Mar-14,3.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.6,24-Mar-14,2.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.6,25-Mar-14,2.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
